Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,Iris-not-versicolour
2,4.9,3.0,1.4,0.2,Iris-not-versicolour
3,4.7,3.2,1.3,0.2,Iris-not-versicolour
4,4.6,3.1,1.5,0.2,Iris-not-versicolour
5,5.0,3.6,1.4,0.2,Iris-not-versicolour
6,5.4,3.9,1.7,0.4,Iris-not-versicolour
7,4.6,3.4,1.4,0.3,Iris-not-versicolour
8,5.0,3.4,1.5,0.2,Iris-not-versicolour
9,4.4,2.9,1.4,0.2,Iris-not-versicolour
10,4.9,3.1,1.5,0.1,Iris-not-versicolour
11,5.4,3.7,1.5,0.2,Iris-not-versicolour
12,4.8,3.4,1.6,0.2,Iris-not-versicolour
13,4.8,3.0,1.4,0.1,Iris-not-versicolour
14,4.3,3.0,1.1,0.1,Iris-not-versicolour
15,5.8,4.0,1.2,0.2,Iris-not-versicolour
16,5.7,4.4,1.5,0.4,Iris-not-versicolour
17,5.4,3.9,1.3,0.4,Iris-not-versicolour
18,5.1,3.5,1.4,0.3,Iris-not-versicolour
19,5.7,3.8,1.7,0.3,Iris-not-versicolour
20,5.1,3.8,1.5,0.3,Iris-not-versicolour
21,5.4,3.4,1.7,0.2,Iris-not-versicolour
22,5.1,3.7,1.5,0.4,Iris-not-versicolour
23,4.6,3.6,1.0,0.2,Iris-not-versicolour
24,5.1,3.3,1.7,0.5,Iris-not-versicolour
25,4.8,3.4,1.9,0.2,Iris-not-versicolour
26,5.0,3.0,1.6,0.2,Iris-not-versicolour
27,5.0,3.4,1.6,0.4,Iris-not-versicolour
28,5.2,3.5,1.5,0.2,Iris-not-versicolour
29,5.2,3.4,1.4,0.2,Iris-not-versicolour
30,4.7,3.2,1.6,0.2,Iris-not-versicolour
31,4.8,3.1,1.6,0.2,Iris-not-versicolour
32,5.4,3.4,1.5,0.4,Iris-not-versicolour
33,5.2,4.1,1.5,0.1,Iris-not-versicolour
34,5.5,4.2,1.4,0.2,Iris-not-versicolour
35,4.9,3.1,1.5,0.1,Iris-not-versicolour
36,5.0,3.2,1.2,0.2,Iris-not-versicolour
37,5.5,3.5,1.3,0.2,Iris-not-versicolour
38,4.9,3.1,1.5,0.1,Iris-not-versicolour
39,4.4,3.0,1.3,0.2,Iris-not-versicolour
40,5.1,3.4,1.5,0.2,Iris-not-versicolour
41,5.0,3.5,1.3,0.3,Iris-not-versicolour
42,4.5,2.3,1.3,0.3,Iris-not-versicolour
43,4.4,3.2,1.3,0.2,Iris-not-versicolour
44,5.0,3.5,1.6,0.6,Iris-not-versicolour
45,5.1,3.8,1.9,0.4,Iris-not-versicolour
46,4.8,3.0,1.4,0.3,Iris-not-versicolour
47,5.1,3.8,1.6,0.2,Iris-not-versicolour
48,4.6,3.2,1.4,0.2,Iris-not-versicolour
49,5.3,3.7,1.5,0.2,Iris-not-versicolour
50,5.0,3.3,1.4,0.2,Iris-not-versicolour
51,7.0,3.2,4.7,1.4,Iris-versicolour
52,6.4,3.2,4.5,1.5,Iris-versicolour
53,6.9,3.1,4.9,1.5,Iris-versicolour
54,5.5,2.3,4.0,1.3,Iris-versicolour
55,6.5,2.8,4.6,1.5,Iris-versicolour
56,5.7,2.8,4.5,1.3,Iris-versicolour
57,6.3,3.3,4.7,1.6,Iris-versicolour
58,4.9,2.4,3.3,1.0,Iris-versicolour
59,6.6,2.9,4.6,1.3,Iris-versicolour
60,5.2,2.7,3.9,1.4,Iris-versicolour
61,5.0,2.0,3.5,1.0,Iris-versicolour
62,5.9,3.0,4.2,1.5,Iris-versicolour
