Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,Iris-not-virginica
2,4.9,3.0,1.4,0.2,Iris-not-virginica
3,4.7,3.2,1.3,0.2,Iris-not-virginica
4,4.6,3.1,1.5,0.2,Iris-not-virginica
5,5.0,3.6,1.4,0.2,Iris-not-virginica
6,5.4,3.9,1.7,0.4,Iris-not-virginica
7,4.6,3.4,1.4,0.3,Iris-not-virginica
8,5.0,3.4,1.5,0.2,Iris-not-virginica
9,4.4,2.9,1.4,0.2,Iris-not-virginica
10,4.9,3.1,1.5,0.1,Iris-not-virginica
11,5.4,3.7,1.5,0.2,Iris-not-virginica
12,4.8,3.4,1.6,0.2,Iris-not-virginica
13,4.8,3.0,1.4,0.1,Iris-not-virginica
14,4.3,3.0,1.1,0.1,Iris-not-virginica
15,5.8,4.0,1.2,0.2,Iris-not-virginica
16,5.7,4.4,1.5,0.4,Iris-not-virginica
17,5.4,3.9,1.3,0.4,Iris-not-virginica
18,5.1,3.5,1.4,0.3,Iris-not-virginica
19,5.7,3.8,1.7,0.3,Iris-not-virginica
20,5.1,3.8,1.5,0.3,Iris-not-virginica
21,5.4,3.4,1.7,0.2,Iris-not-virginica
22,5.1,3.7,1.5,0.4,Iris-not-virginica
23,4.6,3.6,1.0,0.2,Iris-not-virginica
24,5.1,3.3,1.7,0.5,Iris-not-virginica
25,4.8,3.4,1.9,0.2,Iris-not-virginica
26,5.0,3.0,1.6,0.2,Iris-not-virginica
27,5.0,3.4,1.6,0.4,Iris-not-virginica
28,5.2,3.5,1.5,0.2,Iris-not-virginica
29,5.2,3.4,1.4,0.2,Iris-not-virginica
30,4.7,3.2,1.6,0.2,Iris-not-virginica
31,4.8,3.1,1.6,0.2,Iris-not-virginica
32,5.4,3.4,1.5,0.4,Iris-not-virginica
33,5.2,4.1,1.5,0.1,Iris-not-virginica
34,5.5,4.2,1.4,0.2,Iris-not-virginica
35,4.9,3.1,1.5,0.1,Iris-not-virginica
36,5.0,3.2,1.2,0.2,Iris-not-virginica
37,5.5,3.5,1.3,0.2,Iris-not-virginica
38,4.9,3.1,1.5,0.1,Iris-not-virginica
39,4.4,3.0,1.3,0.2,Iris-not-virginica
40,5.1,3.4,1.5,0.2,Iris-not-virginica
41,5.0,3.5,1.3,0.3,Iris-not-virginica
42,4.5,2.3,1.3,0.3,Iris-not-virginica
43,4.4,3.2,1.3,0.2,Iris-not-virginica
44,5.0,3.5,1.6,0.6,Iris-not-virginica
45,5.1,3.8,1.9,0.4,Iris-not-virginica
46,4.8,3.0,1.4,0.3,Iris-not-virginica
47,5.1,3.8,1.6,0.2,Iris-not-virginica
48,4.6,3.2,1.4,0.2,Iris-not-virginica
49,5.3,3.7,1.5,0.2,Iris-not-virginica
50,5.0,3.3,1.4,0.2,Iris-not-virginica
51,7.0,3.2,4.7,1.4,Iris-not-virginica
52,6.4,3.2,4.5,1.5,Iris-not-virginica
53,6.9,3.1,4.9,1.5,Iris-not-virginica
54,5.5,2.3,4.0,1.3,Iris-not-virginica
55,6.5,2.8,4.6,1.5,Iris-not-virginica
56,5.7,2.8,4.5,1.3,Iris-not-virginica
57,6.3,3.3,4.7,1.6,Iris-not-virginica
58,4.9,2.4,3.3,1.0,Iris-not-virginica
59,6.6,2.9,4.6,1.3,Iris-not-virginica
60,5.2,2.7,3.9,1.4,Iris-not-virginica
61,5.0,2.0,3.5,1.0,Iris-not-virginica
62,5.9,3.0,4.2,1.5,Iris-not-virginica
63,6.0,2.2,4.0,1.0,Iris-not-virginica
64,6.1,2.9,4.7,1.4,Iris-not-virginica
65,5.6,2.9,3.6,1.3,Iris-not-virginica
66,6.7,3.1,4.4,1.4,Iris-not-virginica
67,5.6,3.0,4.5,1.5,Iris-not-virginica
68,5.8,2.7,4.1,1.0,Iris-not-virginica
69,6.2,2.2,4.5,1.5,Iris-not-virginica
70,5.6,2.5,3.9,1.1,Iris-not-virginica
71,5.9,3.2,4.8,1.8,Iris-not-virginica
72,6.1,2.8,4.0,1.3,Iris-not-virginica
73,6.3,2.5,4.9,1.5,Iris-not-virginica
74,6.1,2.8,4.7,1.2,Iris-not-virginica
75,6.4,2.9,4.3,1.3,Iris-not-virginica
76,6.6,3.0,4.4,1.4,Iris-not-virginica
77,6.8,2.8,4.8,1.4,Iris-not-virginica
78,6.7,3.0,5.0,1.7,Iris-not-virginica
79,6.0,2.9,4.5,1.5,Iris-not-virginica
80,5.7,2.6,3.5,1.0,Iris-not-virginica
81,5.5,2.4,3.8,1.1,Iris-not-virginica
82,5.5,2.4,3.7,1.0,Iris-not-virginica
83,5.8,2.7,3.9,1.2,Iris-not-virginica
84,6.0,2.7,5.1,1.6,Iris-not-virginica
85,5.4,3.0,4.5,1.5,Iris-not-virginica
86,6.0,3.4,4.5,1.6,Iris-not-virginica
87,6.7,3.1,4.7,1.5,Iris-not-virginica
88,6.3,2.3,4.4,1.3,Iris-not-virginica
89,5.6,3.0,4.1,1.3,Iris-not-virginica
90,5.5,2.5,4.0,1.3,Iris-not-virginica
91,5.5,2.6,4.4,1.2,Iris-not-virginica
92,6.1,3.0,4.6,1.4,Iris-not-virginica
93,5.8,2.6,4.0,1.2,Iris-not-virginica
94,5.0,2.3,3.3,1.0,Iris-not-virginica
95,5.6,2.7,4.2,1.3,Iris-not-virginica
96,5.7,3.0,4.2,1.2,Iris-not-virginica
97,5.7,2.9,4.2,1.3,Iris-not-virginica
98,6.2,2.9,4.3,1.3,Iris-not-virginica
99,5.1,2.5,3.0,1.1,Iris-not-virginica
100,5.7,2.8,4.1,1.3,Iris-not-virginica
101,6.3,3.3,6.0,2.5,Iris-virginica
102,5.8,2.7,5.1,1.9,Iris-virginica
103,7.1,3.0,5.9,2.1,Iris-virginica
104,6.3,2.9,5.6,1.8,Iris-virginica
105,6.5,3.0,5.8,2.2,Iris-virginica
106,7.6,3.0,6.6,2.1,Iris-virginica
107,4.9,2.5,4.5,1.7,Iris-virginica
108,7.3,2.9,6.3,1.8,Iris-virginica
109,6.7,2.5,5.8,1.8,Iris-virginica
110,7.2,3.6,6.1,2.5,Iris-virginica
111,6.5,3.2,5.1,2.0,Iris-virginica
112,6.4,2.7,5.3,1.9,Iris-virginica
113,6.8,3.0,5.5,2.1,Iris-virginica
114,5.7,2.5,5.0,2.0,Iris-virginica
115,5.8,2.8,5.1,2.4,Iris-virginica
116,6.4,3.2,5.3,2.3,Iris-virginica
117,6.5,3.0,5.5,1.8,Iris-virginica
118,7.7,3.8,6.7,2.2,Iris-virginica
119,7.7,2.6,6.9,2.3,Iris-virginica
120,6.0,2.2,5.0,1.5,Iris-virginica
121,6.9,3.2,5.7,2.3,Iris-virginica
122,5.6,2.8,4.9,2.0,Iris-virginica
